101357;"Grundschule ""Am Krugpark""";Brandenburg an der Havel;BRB
101369;"Grundschule ""Theodor Fontane""";Brandenburg an der Havel;BRB
101382;"Grundschule ""Frederic Joliot Curie""";Brandenburg an der Havel;BRB
101400;Georg-Klingenberg-Schule montessoriorientierte St�dtische Grundschule Brandenburg an der Havel;Brandenburg an der Havel;BRB
101412;Luckenberger Schule;Brandenburg an der Havel;BRB
101424;Konrad-Sprengel-Schule;Brandenburg an der Havel;BRB
101461;"Grundschule ""Gebr�der Grimm""";Brandenburg an der Havel;BRB
101485;Wilhelm-Busch-Schule;Brandenburg an der Havel;BRB
101503;Magnus-Hoffmann-Schule Kirchm�ser;Brandenburg an der Havel;BRB
106112;Evangelische Grundschule Brandenburg an der Havel;Brandenburg an der Havel;BRB
106574;WIR-Grundschule -anerkannte Ersatzschule-;Brandenburg an der Havel;BRB
106781;Grundschule in der Kleinen Gartenstra�e;Brandenburg an der Havel;BRB
110796;Berufsorientierte Schule Kirchm�ser;Brandenburg an der Havel;BRB
110826;Otto-Tschirch-Oberschule;Brandenburg an der Havel;BRB
110838;Oberschule Brandenburg Nord;Brandenburg an der Havel;BRB
120250;Bertolt-Brecht-Gymnasium;Brandenburg an der Havel;BRB
120261;von Saldern-Gymnasium Europaschule;Brandenburg an der Havel;BRB
121216;Evangelisches Gymnasium am Dom zu Brandenburg anerkannte Ersatzschule;Brandenburg an der Havel;BRB
130205;Nicolaischule - St�dtische Oberschule (Brandenburg an der Havel);Brandenburg an der Havel;BRB
180336;Hildegard-von-Bingen-Oberschule St�dtische Oberschule;Brandenburg an der Havel;BRB
180385;Evangelischer Schulcampus am Dom zu Brandenburg - Oberschule genehmigte Ersatzschule;Brandenburg an der Havel;BRB
200270;"Oberstufenzentrum ""Gebr�der Reichstein""";Brandenburg an der Havel;BRB
200281;"Oberstufenzentrum ""Alfred Flakowski""";Brandenburg an der Havel;BRB
330206;Fachschule f�r Sozialwesen im Europ�ischen Bildungswerk f�r Beruf und Gesellschaft gGmbH;Brandenburg an der Havel;BRB
400336;"Havelschule St�dtische Schule mit dem sonderp�dagogischen F�rder- schwerpunkt ""Geistige Entwicklung""";Brandenburg an der Havel;BRB
400348;Schule f�r Kranke im Asklepios-Fachklinikum;Brandenburg an der Havel;BRB
400361;"Johann-Heinrich-Pestalozzi-Schule - Schule mit dem sonderp�dagogischen F�rderschwerpunkt ""Lernen""";Brandenburg an der Havel;BRB
640270;"Zweiter Bildungsweg am OSZ ""Alfred Flakowski"" Brandenburg an der Havel";Brandenburg an der Havel;BRB
103421;Grundschule Ludwig Renn;Potsdam;P
103512;Grundschule Hanna von Pestalozza;Potsdam;P
105326;Grundschule Max Dortu;Potsdam;P
105351;Weidenhof-Grundschule;Potsdam;P
105363;Grundschule Am Pappelhain;Potsdam;P
105405;Grundschule am Humboldtring;Potsdam;P
105429;Zeppelin-Grundschule;Potsdam;P
105430;Waldstadt-Grundschule;Potsdam;P
105454;Rosa-Luxemburg-Schule;Potsdam;P
105466;"Grundschule ""Am Priesterweg""";Potsdam;P
105478;Gerhart-Hauptmann-Grundschule Potsdam;Potsdam;P
105491;Grundschule Bruno H. B�rgel;Potsdam;P
105533;Eisenhart-Schule;Potsdam;P
106008;Grundschule Im Kirchsteigfeld;Potsdam;P
106010;Freie Schule Potsdam des Vereins Freie Schule Potsdam e.V.;Potsdam;P
106045;Evangelische Grundschule Potsdam;Potsdam;P
106124;Neue Grundschule Potsdam anerkannte Ersatzschule;Potsdam;P
106306;Schiller Grundschule im Sternfeld anerkannte Ersatzschule;Potsdam;P
106320;Aktive Schule Potsdam Grundschule;Potsdam;P
106446;Internationale Grundschule Potsdam Primary School genehmigte Ersatzschule;Potsdam;P
106460;Neue Grundschule Marquardt anerkannte Ersatzschule;Potsdam;P
106471;Evangelische Grundschule Potsdam-Babelsberg -anerkannte Ersatzschule-;Potsdam;P
106586;Katholische Marienschule Potsdam Grundschule - anerkannte Ersatzschule -;Potsdam;P
106653;Goethe-Grundschule;Potsdam;P
106677;Grundschule im Bornstedter Feld;Potsdam;P
106720;Grundschule Bornim;Potsdam;P
106732;AWO Grundschule Marie Juchacz Potsdam - genehmigte Ersatzschule -;Potsdam;P
106770;Grundschule Am Jungfernsee;Potsdam;P
106793;Grundschule am Telegrafenberg;Potsdam;P
106902;Michael-Ende-Grundschule;Potsdam;P
107013;Grundschule Krampnitz Potsdam;Potsdam;P
112082;Regenbogenschule Fahrland;Potsdam;P
112938;Karl-Foerster-Schule St�dtische Grundschule Potsdam;Potsdam;P
112963;Montessori-Oberschule mit Primarstufe;Potsdam;P
112975;"Gesamtschule ""Peter Joseph Lenn�""";Potsdam;P
112999;Schule am Griebnitzsee;Potsdam;P
113001;Oberschule Theodor Fontane mit Primarstufe;Potsdam;P
113049;Friedrich-Wilhelm-von-Steuben-Gesamtschule;Potsdam;P
113050;Voltaireschule Gesamtschulcampus mit gymnasialem Bildungsgang;Potsdam;P
113426;Leonardo-da-Vinci-Gesamtschule;Potsdam;P
113438;Internationale Gesamtschule Potsdam - anerkannte Ersatzschule -;Potsdam;P
113440;Neue Gesamtschule Babelsberg der ASG - anerkannte Ersatzschule -;Potsdam;P
113451;Gesamtschule Am Schilfhof;Potsdam;P
115540;"Sportschule Potsdam ""Friedrich Ludwig Jahn""";Potsdam;P
120790;Humboldt-Gymnasium Potsdam;Potsdam;P
120819;Hermann-von-Helmholtz-Gymnasium Europaschule;Potsdam;P
120820;Leibniz-Gymnasium Potsdam;Potsdam;P
